ISO_A2,model,median_BOC,median_EOC,rel_change_%,p_shapiro_BOC,p_shapiro_EOC,p_ttest,signif_ttest
SI,MRI-ESM2-0,2421.982985437984,2576.744667142625,6.38987485193478,0.2679474197053734,0.3200805032121241,6.27493208224255e-07,True
ES,ACCESS-CM2,78152.52934497494,85540.68260293425,9.4535049855483,0.7692125951365447,0.9208499980244431,1.873805182087422e-20,True
ES,CanESM5,76891.06846802725,78838.6790571861,2.532947750581337,0.8390931022530637,0.9596640036951463,0.001102563068420878,True
ES,CMCC-CM2-SR5,62162.06262658435,67226.04557602709,8.146420397699382,0.10711831555463763,0.018188142902214113,1.228517268667624e-08,True
ES,CMCC-ESM2,62559.60827576797,67728.3588030661,8.262120991093571,0.17347979126068713,0.362524284886683,2.9049944811449527e-13,True
ES,HadGEM3-GC31-LL,77948.37777341664,83669.65019358892,7.339822307531666,0.3032100834414554,0.7835608088465016,3.732650947101924e-16,True
ES,HadGEM3-GC31-MM,77716.59733251942,83051.09345184026,6.864037158622098,0.9961987265673558,0.5166949856996153,2.9858573017311707e-10,True
ES,MRI-ESM2-0,72923.450427165,74318.53005510489,1.913074079418774,0.9221413309940234,0.48020413821044244,0.04562572858999861,True
SE,ACCESS-CM2,40339.83797080429,42119.640034800745,4.4120208546315265,0.314942202226361,0.12325580742731873,4.978640531964284e-06,True
SE,CanESM5,29497.54092691609,29027.79685475708,-1.59248553404115,0.3803322442317291,0.5940065227913809,0.3433508278496693,False
SE,CMCC-CM2-SR5,30555.252720794982,32474.607922821982,6.281588372269442,0.25883711807403387,0.8246896364295278,1.3106289716348785e-07,True
SE,CMCC-ESM2,30235.674564347068,32194.576119781614,6.4787757629340925,0.5857259861331746,0.07690424015240649,2.2547474286650894e-05,True
SE,HadGEM3-GC31-LL,40079.14998565511,42977.4102869147,7.2313417382776874,0.6562557477607032,0.2825542831326163,1.2153761141753248e-11,True
SE,HadGEM3-GC31-MM,43005.89338020387,45305.85298081625,5.348010283797714,0.9937865225363078,0.31512402714415,1.493869708376373e-09,True
SE,MRI-ESM2-0,33553.93959309648,34217.30975941565,1.9770261685028847,0.24690783038612524,0.2603541610713843,0.3888116791145575,False
CY,ACCESS-CM2,902.3713712309681,933.4402536194052,3.4430261618400633,0.7710578821916226,0.4583644486810042,3.086661008030355e-10,True
CY,CanESM5,802.4769914677545,816.2486663426355,1.716145761349767,0.16944871027673875,0.49085895254629,3.741100010556209e-05,True
CY,CMCC-CM2-SR5,781.373797754346,791.9212293994927,1.349857350663646,0.6428774559106638,0.16537108082182317,0.001415394085677297,True
CY,CMCC-ESM2,782.1452253795536,789.3963836349831,0.927085919614311,0.8964874533400224,0.7294855373768939,0.11626563691557668,False
CY,HadGEM3-GC31-LL,909.2532466352658,927.4920367220309,2.005908711820233,0.54544528458243,0.6425064383540225,0.004212952244593449,True
CY,HadGEM3-GC31-MM,904.818349646579,927.7999970248671,2.5399183590015317,0.6816609792951163,0.8991065113142901,1.759108394994629e-07,True
CY,MRI-ESM2-0,859.5912346504581,883.9900206290126,2.838417261022444,0.6372558509841854,0.4352900192542904,5.163931932849483e-07,True
